name,km,lat,lon,ele
Trieste (start),0,45.643035,13.779129,55
Slavnik karst,28,45.535834,13.971591,949
Platak mountain,141,45.435723,14.563142,1116
Zavižan (Velebit summit),260,44.814547,14.975291,1586
Gospić,345,44.533746,15.396951,568
CP1 Mazin,451,44.448901,15.95099,802
Knin,537,44.043579,16.21879,225
Livno,664,43.84217,16.969367,724
Mostar,812,43.317158,17.828085,55
Ulog (Bosnian highlands),897,43.404492,18.332277,864
CP2 Kopilovi,1060,43.404836,18.781103,505
Žabljak (Durmitor),1160,43.13822,19.205057,1336
Nikšić,1325,42.778726,18.879691,646
Risan (finish),1395,42.512404,18.695579,-2
